Division,Number,Nickname,Full Name,Rookie Year,Website,Location
FTC,11134,Szechuan Sauce,The Delta High School,2016,,Pasco&comma; WA 99301 USA
FTC,11137,E-Lemon-Ators,Family/Community,2016,,Holcomb&comma; MO 63852 USA
FTC,11138,Robo Eclipse,Family/Community,2016,,Bellevue&comma; WA 98006 USA
FTC,11139,Knight Owls,Northridge Preparatory School,2016,,Niles&comma; IL 60714 USA
FTC,11140,TAES ,Escuela Secundaria Bicultural Thomas Alva Edison,2016,,Hermosillo&comma; SON 83224 Mexico
FTC,11141,Neon Nights Reload,Family/Community,2016,,Lawrenceville&comma; GA 30043 USA
FTC,11142,Robo Minions Rebooted,The Quad City Engineering and Science Council (QCESC)/John Deere/ALCOA/PTC/Yash Technologies/Icon Charities/Cobham/R3 Services/ColoHub &amp; Pleasant Valley Junior High School,2016,http://ftc-team11142.weebly.com\,Bettendorf&comma; IA 52722 USA
FTC,11143,Barker Orangebacks,Barker College,2016,,Waitara&comma; NSW 2077 Australia
FTC,11144,Barker Bluebacks,Barker College,2016,,Hornsby&comma; NSW 2077 Australia
FTC,11145,Barker Greenbacks,Barker College,2016,,Hornsby&comma; NSW 2077 Australia
FTC,11146,Barker Pinkbacks,Barker College,2016,,Hornsby&comma; NSW 2077 Australia
FTC,11147,Barker FTC 6 2017,Barker College,2016,,Hornsby&comma; NSW 2077 Australia
FTC,11148,Barker FTC 7 2017,Barker College,2016,,Hornsby&comma; NSW 2077 Australia
FTC,11149,LAB RATS Robotics &amp; Engineering,Quinn Technology Solutions&amp;Family/Community,2016,,Spring&comma; TX 77388 USA
FTC,11150,Thunder PengWin Robotics Team,EHS FIRST ROBOTICS BOOSTER CLUB/ftcgrants@firstinspires.org/Eagan High School &amp; Eagan Senior High,2016,ThunderPengWinRoboticsTeam.com,Saint Paul&comma; MN 55123 USA
FTC,11154,Widener-Chester,Chester Hs - Main Campus,2016,,Chester&comma; PA 19013 USA
FTC,11155,Clash of Coders,Family/Community,2016,https://www.facebook.com/Clash-of-Coders-559450594220692/,San Antonio&comma; TX 78255 USA
FTC,11156,Harlingen High School,Harlingen H S,2016,,Harlingen&comma; TX 78550 USA
FTC,11157,Harlingen High School South,Texas Workforce Commission&amp;Harlingen H S - South,2016,,Harlingen&comma; TX 78550 USA
FTC,11158,ECHS Robotics,Texas Workforce Commission &amp; Early College H S,2016,,Harlingen&comma; TX 78550 USA
FTC,11159,Dr. Abraham P Cano Freshman Academy,Dr. Abraham P Cano Freshman Academy,2016,,Harlingen&comma; TX 78550 USA
FTC,11161,Tennessee Robotics Club,Family/Community,2016,www.tennesseeroboticsclub.org,Murfreesboro&comma; TN 37127 USA
FTC,11163,LadyTitans,Chicago Math &amp; Sci Elem Charter,2016,,Chicago&comma; IL 60626 USA
FTC,11164,Electric Boogaloo,Spring Hill H S,2016,,Longview&comma; TX 75605 USA
FTC,11165,O-Bots,Punahou School,2016,,Honolulu&comma; HI 96813 USA
FTC,11166,Big Red Robotics,the Lawrenceville School,2016,,Lawrence Township&comma; NJ 08648 USA
FTC,11167,Verdugo Hills High School Robotics,&amp;Verdugo Hills Senior High,2016,https://www.ramstadmath.com/club,Sun Valley&comma; CA 91352 USA
FTC,11168,The Quantum Mechanics,Family/Community,2016,,Eagle River&comma; AK 99577 USA
FTC,11170,Central Catholic High School,Central Catholic High School,2016,,Portland&comma; OR 97214 USA
FTC,11171,Charge,Nimitz Middle,2016,http://stemrobotics.weebly.com/,San Antonio&comma; TX 78216 USA
FTC,11172,Bolles Bots Bartram,Family/Community,2016,,Jacksonville&comma; FL 32256 USA
FTC,11173,Hall of Pi,Pascack Hills High,2016,,Montvale&comma; NJ 07645 USA
FTC,11174,mc² Robotics,ACE/Freepoint Commodities LLC&amp;Family/Community,2016,http://mcsquarerobo.wixsite.com/mcsquare,Trumbull&comma; CT 06611 USA
FTC,11175,Providence Academy Lions,Providence Academy,2016,,Minneapolis&comma; MN 55446 USA
FTC,11176,Panthers,Hilbert Middle School,2016,,Redford&comma; MI 48239 USA
FTC,11177,Gear Grinders,River Bend School District,2016,,Fulton&comma; IL 61252 USA
FTC,11179,St. John Bosco Knights,St. John Bosco Institute,2016,,Edmond&comma; OK 73025 USA
FTC,11180,Beaks n Bolts Robotics,Essex Cty Voc West Caldw,2016,,Caldwell&comma; NJ 07006 USA
FTC,11181,Robo-Raptors,Bentley Middle School,2016,,Burton&comma; MI 48509 USA
FTC,11182,Wolverines,Rosemont High,2016,https://sites.google.com/site/rosemontroboticsclub5274/home,Sacramento&comma; CA 95827 USA
FTC,11183,McQueen High School- 32 Bit,Walmart/McQueen Boosters &amp; Robert Mc Queen High School,2016,,Reno&comma; NV 89523 USA
FTC,11184,Obsidian Fortress,Academy for Young Writers,2016,http://tech262.wixsite.com/obsidianfortress,Brooklyn&comma; NY 11239 USA
FTC,11185,Robotic Revolution,Jasper H S,2016,roboticrevolutionFLL.weebly.com,Plano&comma; TX 75025 USA
FTC,11186,Mecha-Mules,Weyerhauser&amp;Wahkiakum High School&amp;4-H,2016,,Cathlamet&comma; WA 98612 USA
FTC,11187,AZTECHS FTC,Dublin Robotics Boosters&amp;Family/Community,2016,http://www.dublinroboticsboosters.org/,Dublin&comma; OH 43017 USA
FTC,11188,Team NOVA,Woodland Regional High School,2016,,Beacon Falls&comma; CT 06403 USA
FTC,11190,MechaDojo,Family/Community,2016,,Eden Prairie&comma; MN 55347 USA
FTC,11191,Red Vectors,Chaminade College Prep School,2016,,Saint Louis&comma; MO 63131 USA
FTC,11192,Black Tigers,Ish Shalom,2016,,Kfar Yona&comma; M 4032522 Israel
FTC,11193,Flying DutchBots,Worth Repeating/Chartwells&amp;Manchester Middle School,2016,,Manchester&comma; MI 48158 USA
FTC,11194,Ante-Bionics,Neal DeWitte&amp;Family/Community,2016,,Point Pleasant Beach&comma; NJ 08742 USA
FTC,11195,Envisioneers II,University of Mississippi CMSE &amp; Family/Community,2016,,Prentiss&comma; MS 39474 USA
FTC,11197,Envisioneers III,Family/Community,2016,,Prentiss&comma; MS 39474 USA
FTC,11198,Ingene Intermediate Mechatronics ,Nfr Institute of Technology,2016,www.nfrinstitute.org,Michigan City&comma; IN 46360 USA
FTC,11199,Forge,St Mark Catholic School,2016,www.ForgeRobotics.org,Pembroke Pines&comma; FL 33028 USA
FTC,11200,Phenomena,O. Comeaux High School,2016,,Lafayette&comma; LA 70508 USA
FTC,11201,Piedmont Pioneers,Piedmont Middle,2016,,Oakland&comma; CA 94611 USA
FTC,11203,DuRT (DeSmet ultimate Robotics Team),De Smet Jesuit High School,2016,,Saint Louis&comma; MO 63141 USA
FTC,11204,Shark A-Tech,Westminster Academy,2016,http://sharkatech.weebly.com/,Fort Lauderdale&comma; FL 33309 USA
FTC,11205,Edgemont Robotics Club,Houlihan Lawrence &amp; Edgemont Junior-Senior High School,2016,,Scarsdale&comma; NY 10583 USA
FTC,11206,Ordean Devil Dogs,Family/Community,2016,,Duluth&comma; MN 55804 USA
FTC,11207,Iron Panthers,Perspectives Charter High School,2016,,Chicago&comma; IL 60616 USA
FTC,11208,Kardia Robotics,Home School,2016,,Reading&comma; PA 19604 USA
FTC,11209,Code Crushing Griffins,Family/Community,2016,,Glen Allen&comma; VA 23060 USA
FTC,11210,Infinity Robotechs,Family/Community,2016,www.infinityrobotechs.org,Canonsburg&comma; PA 15317 USA
FTC,11211,Tiger Robotics,Lake Center Christian School,2016,,Hartville&comma; OH 44632 USA
FTC,11212,The Clueless ,Family/Community,2016,,San Diego&comma; CA 92129 USA
FTC,11213,Mustangs,Mary Mcleod Bethune Middle,2016,,Los Angeles&comma; CA 90003 USA
FTC,11214,Ground Shakers,Hanahan Recreation Department/SPAWAR &amp; Family/Community,2016,,Summerville&comma; SC 29485 USA
FTC,11215,TechBrick FTC 11215,Family/Community,2016,http://techbrick.com,Bel Air&comma; MD 21015 USA
FTC,11216,Buffering,Family/Community,2016,,Lowville&comma; NY 13367 USA
FTC,11219,Canyon State Techies,Canyon State Academy,2016,,Queen Creek&comma; AZ 85142 USA
FTC,11220,Bayou Bots,Holy Savior Menard High School,2016,,Alexandria&comma; LA 71303 USA
FTC,11221,M.I.M.ERS,Byhalia Middle School (5-8),2016,,Byhalia&comma; MS 38611 USA
FTC,11222,TROJAN TERABYTES ,4-H Youth Development Organization,2016,,Neola&comma; IA 51559 USA
FTC,11225,DELTA Robotics (Louisville Collegiate School),Louisville Collegiate School,2016,,Louisville&comma; KY 40204 USA
FTC,11227,Gears^5 Power,Family/Community,2016,,Houston&comma; TX 77245 USA
FTC,11228,Cityside Middle School ,Cityside Middle School,2016,,Zeeland&comma; MI 49464 USA
FTC,11230,OMS ElektraKatz,Oxford Area Middle School,2016,https://www.facebook.com/OMS-ElektraKatz-FTC-Robotics-Team-11230-526099407584070/,Oxford&comma; MI 48371 USA
FTC,11231,Cyborg Cats,Oxford Area Middle School,2016,http://www.forc.life,Oxford&comma; MI 48371 USA
FTC,11232,RoboRaptors 1 ,Ridgeview Middle School,2016,,Visalia&comma; CA 93291 USA
FTC,11233,Charlie,West Valley High School,2016,,Spokane&comma; WA 99212 USA
FTC,11234,Chandra,West Valley High School,2016,,Spokane&comma; WA 99212 USA
FTC,11235,Retro Robotics,Family/Community,2016,,East Peoria&comma; IL 61611 USA
FTC,11236,IbotBuilders,Family/Community,2016,,Holmdel&comma; NJ 07733 USA
FTC,11238,Buggie Builders ,Nevada Blind Children's Foundation,2016,,Las Vegas&comma; NV 89148 USA
FTC,11240,Tech Terrorz,Mustang North Ms,2016,,Mustang&comma; OK 73064 USA
FTC,11241,Blue Steel,Howell High,2016,https://mrrmorgan.wordpress.com/first-robotics/,Farmingdale&comma; NJ 07727 USA
FTC,11242,ERROR 451 - Unavailable for Legal Reasons,Texas Workforce Commission/The TShirt Guys/FIRST Stewardship&amp;Ferris H S,2016,www.instagram.com/ftc11242,Ferris&comma; TX 75125 USA
FTC,11243,KIPP Cyber Senators,Kipp Sunnyside H S,2016,,Houston&comma; TX 77047 USA
FTC,11244,Thunderbots ,Novi Middle School,2016,,Novi&comma; MI 48374 USA
FTC,11245,Victor FTC Team 1,Victor Junior High School,2016,,Victor&comma; NY 14564 USA
FTC,11246,Victor FTC Team 2,Victor Junior High School,2016,,Victor&comma; NY 14564 USA
FTC,11247,Deady Middle School,Deady Middle,2016,,Houston&comma; TX 77012 USA
FTC,11248,//Cougars,Chatham High,2016,,Chatham&comma; NJ 07928 USA
FTC,11249,Mc Reynolds MS Mighty Bears,Mcreynolds Middle,2016,,Houston&comma; TX 77020 USA
FTC,11250,Dragon Bots,Stevenson Middle,2016,,Houston&comma; TX 77017 USA
FTC,11251,Lexington Legoheads,Family/Community,2016,,Lexington&comma; MA 02420 USA
FTC,11252,RoboCats Black,Central City High School,2016,http://www.ccrobocats.com/,Central City&comma; IA 52214 USA
FTC,11253,Roxbotix Jr.,Eisenhower Middle,2016,,Succasunna&comma; NJ 07876 USA
FTC,11254,Robo Rhinos,Ford&amp;Novi Middle School,2016,,Novi&comma; MI 48377 USA
FTC,11255,TSAR,St Mary'S of Medford,2016,,Medford&comma; OR 97504 USA
FTC,11256,Nano Nerds,Family/Community,2016,nanonerds.org,Folsom&comma; CA 95630 USA
FTC,11257,Robotic Rockettes,YWCA,2016,www.ywcaprinceton.org/robotics,Princeton&comma; NJ 08540 USA
FTC,11258,Barker FTC 3 2017,Barker College,2016,,Hornsby&comma; NSW 2077 Australia
FTC,11259,Team ATOM ,CrossPointe Preparatory,2016,,Searcy&comma; AR 72143 USA
FTC,11260,Up-A-Creek Robotics ,The GEAR Alliance / Up-A-Creek Robotics,2016,www.team1619.org,Longmont&comma; CO 80501 USA
FTC,11261,Team S.T.R.A.N.G.E,4-H Youth Development Organization,2016,https://www.facebook.com/groups/286481071543326/,Berkeley Springs&comma; WV 25411 USA
FTC,11262,Patriot Bot ,Owen Valley Community Hs,2016,,Spencer&comma; IN 47460 USA
FTC,11263,TechnoMancers,Julia Landon College Prepartory &amp; Leadership Devel,2016,,Jacksonville&comma; FL 32207 USA
FTC,11264,Bots in Black ,Family/Community,2016,,Sioux Falls&comma; SD 57103 USA
FTC,11265,Astro-Tigers,Duval High,2016,,Lanham&comma; MD 20706 USA
FTC,11266,Black River,Black River Public School,2016,,Holland&comma; MI 49423 USA
FTC,11267,Call of EON (Engineers of the New Age) Black ops III,M C Williams Middle,2016,,Houston&comma; TX 77091 USA
FTC,11268,Atomic,Southeast Junior High School,2016,,Iowa City&comma; IA 52240 USA
FTC,11269,Titan Robotics,Ridgeland High School,2016,,Ridgeland&comma; MS 39157 USA
FTC,11270,FTC Athena,Great River School,2016,,Saint Paul&comma; MN 55108 USA
FTC,11271,RoboTux,Southeast Junior High School,2016,,Iowa City&comma; IA 52240 USA
FTC,11272,Faith Christian School,John Deere&amp;Faith Christian School,2016,http://genesis11272.weebly.com/,Lafayette&comma; IN 47905 USA
FTC,11279,Pure Imagination,CMSE-University of Mississippi/FIRST &amp; Grenada High &amp; Grenada Middle School,2016,,Grenada&comma; MS 38901 USA
FTC,11281,WCV Team FTC,West Canada Valley Junior-Senior High School,2016,,Newport&comma; NY 13416 USA
FTC,11282,Founders Academy FTC,The Founders Academy,2016,,Manchester&comma; NH 03103 USA
FTC,11283,Mmm...Java,Central Intermediate Sch,2016,,Washington&comma; IL 61571 USA
FTC,11285,PATENT PENDING,Family/Community,2016,Mchsrobotics.weebly.com,San Diego&comma; CA 92129 USA
FTC,11288,Seminerds,DoD STEM/Qualcomm Inc &amp; University City High,2016,,San Diego&comma; CA 92122 USA
FTC,11289,Rochester Robocatz,Rochester High School,2016,,Rochester&comma; IL 62563 USA
FTC,11290,TAXI K.A.B.D,Family/Community,2016,,Saint Paul&comma; MN 55113 USA
FTC,11291,Fe-males,All-Girls School,2016,,Houston&comma; TX 77004 USA
FTC,11294,Trillbotic Colts,Worthing H S,2016,http://www.houstonisd.org/Domain/13646,Houston&comma; TX 77051 USA
FTC,11295,Terror-bytes,Manhattan Middle School of the Arts and Academics,2016,,Boulder&comma; CO 80303 USA
FTC,11296,Airship Pirates,Family/Community,2016,,Socorro&comma; NM 87801 USA
FTC,11297,Nerds Bots,Magdalena Middle,2016,,Socorro&comma; NM 87801 USA
FTC,11298,Die Krieger,Socorro High,2016,,Socorro&comma; NM 87801 USA
FTC,11299,CrushBots,Dakota Hills Middle,2016,,Saint Paul&comma; MN 55123 USA
FTC,11300,Sarracino MS FTC,R Sarracino Middle,2016,,Socorro&comma; NM 87801 USA
FTC,11301,Maranatha Christian Academy FTC 1,Maranatha Christian Academy,2016,,Minneapolis&comma; MN 55428 USA
FTC,11302,Next Nova ,Sylvania Northview High School,2016,,Sylvania&comma; OH 43560 USA
FTC,11303,Y Bridge 4H Robotics,Family/Community,2016,,Galena&comma; MO 65656 USA
FTC,11304,Ridge Robotics,Family/Community,2016,http://arul18gupta.wixsite.com/ridgerobotics,Basking Ridge&comma; NJ 07920 USA
FTC,11305,Vallibots,Muir Middle School,2016,,Highland&comma; MI 48357 USA
FTC,11306,Prototype G,YWCA,2016,,Princeton&comma; NJ 08540 USA
FTC,11307,Laker Droids,Our Lady of the Lakes Catholic School,2016,,Waterford&comma; MI 48329 USA
FTC,11308,MindCrafters FTC - YISE,Family/Community,2016,,Parker&comma; CO 80138 USA
FTC,11310,Mesa Ridge Grizzlies,Mesa Ridge High School,2016,,Colorado Springs&comma; CO 80911 USA
FTC,11311,Paragon,STREAM Education Foundation/Apple Inc. &amp; BASIS Independent Silicon Valley,2016,,San Jose&comma; CA 95148 USA
FTC,11312,JSTEM Lightning 11312,Judson Middle,2016,,Converse&comma; TX 78109 USA
FTC,11313,UniqueHorns,Los Angeles Center for Enriched Studies,2016,,Los Angeles&comma; CA 90035 USA
FTC,11314,The Rising Tide,Cranbrook Schools&amp;Cranbrook Schools,2016,,Bloomfield Hills&comma; MI 48304 USA
FTC,11316,Weapons of Mass Construction,Family/Community,2016,,Indianola&comma; IA 50125 USA
FTC,11317,Engineers,Gateway to Success Academy,2016,,Scottville&comma; MI 49454 USA
FTC,11318,Engineers Bravo,Gateway to Success Academy,2016,,Scottville&comma; MI 49454 USA
FTC,11319,La Salle Robotics BLUE,Aegis Industrial Software Corporation &amp; La Salle College High School,2016,,Glenside&comma; PA 19038 USA
FTC,11322,Grace Ananas FTC,Grace Lutheran College,2016,www.gracerobotics.org.au,Rothwell&comma; QLD 4021 Australia
FTC,11327,TECH AVATARS,Renner Middle,2016,,Plano&comma; TX 75024 USA
FTC,11329,ICE Robotics,Bloomington High School South,2016,,Bloomington&comma; IN 47403 USA
FTC,11330,DR Robotics,Discovery High School,2016,,Colorado Springs&comma; CO 80911 USA
FTC,11332,LASERS,Compton High,2016,,Compton&comma; CA 90221 USA
FTC,11333,Samurai,Compton High,2016,,Compton&comma; CA 90221 USA
FTC,11334,Alpha Tech,Centennial High,2016,,Compton&comma; CA 90222 USA
FTC,11335,Delta Tech,Centennial High,2016,,Compton&comma; CA 90222 USA
FTC,11336,Red Snow Robotics,Dominguez High,2016,,Compton&comma; CA 90221 USA
FTC,11337,Robonauts,Dominguez High,2016,,Compton&comma; CA 90221 USA
FTC,11338,JSTEM Lightning 11338,Judson Middle,2016,,Converse&comma; TX 78109 USA
FTC,11339,Williams Warrior Robotics,Texas Workforce Commission &amp;Williams H S,2016,,Plano&comma; TX 75074 USA
FTC,11340,Iron Eagles,Abbott Middle School,2016,,West Bloomfield&comma; MI 48324 USA
FTC,11341,ViBøts ,FIRST in Texas &amp; Vines H S,2016,vinesrobotics.org,Plano&comma; TX 75075 USA
FTC,11342,Ramstein HS - #2 - Plethora O' Punctuation,Ramstein High School,2016,,APO&comma; AE 09094 USA
FTC,11343,CDS Patriot Bots,Carrollwood Day School,2016,,Tampa&comma; FL 33613 USA
FTC,11344,Merritt Oilers,Merritt Hs,2016,,Elk City&comma; OK 73644 USA
FTC,11347,The CircuitRunners - Black,Wheeler High School,2016,circuitrunners.com,Marietta&comma; GA 30068 USA
FTC,11348,Moore High School Lions,Moore Hs,2016,,Moore&comma; OK 73160 USA
FTC,11349,McCaskey Robotics,Mccaskey Campus,2016,,Lancaster&comma; PA 17602 USA
FTC,11350,Crash Test,Family/Community,2016,,San Diego&comma; CA 92123 USA
FTC,11351,R^3B,Lake Country Lutheran High School &amp; Chesterton Academy,2016,,Pewaukee&comma; WI 53072 USA
FTC,11353,The Formal Emus,Lake Country Lutheran High School,2016,,Hartland&comma; WI 53029 USA
FTC,11354,The Midnight Ostrich Runners,Family/Community,2016,,Broken Arrow&comma; OK 74012 USA
FTC,11356,Robosonics,Larson Middle School,2016,,Troy&comma; MI 48085 USA
FTC,11357,CrusaderBots,Helias High School,2016,,Jefferson City&comma; MO 65109 USA
FTC,11358,Silver Circuit,Entergy/Plympton Cultural Council/Kingston PTO/Silver Lake STEM Camp&amp;Silver Lake Reg High,2016,,Kingston&comma; MA 02364 USA
FTC,11359,SilverBots,Silver Lake Reg High,2016,,Kingston&comma; MA 02364 USA
FTC,11360,Space Unicorns,Bloomfield Hills Middle School,2016,www.spaceunicorns11360.weebly.com,Bloomfield Hills&comma; MI 48302 USA
FTC,11362,M Cubed,Monroe County 4-H/Monroe Service Center/NASA IV&amp;V/United Technologies/Appalachian Electronic Instruments/Monroe Steel &amp; Copper/FIRST Energy&amp;4-H Youth Development Organization,2016,www.facebook.com/monroebotics,Union&comma; WV 24983 USA
FTC,11363,Silent Bot Deadly,Family/Community,2016,,Folsom&comma; CA 95630 USA
FTC,11364,Eagle Robotics - Diamond Plate,Lockheed Martin&amp;Mount Paran Christian School,2016,www.eaglerobotics.net,Kennesaw&comma; GA 30152 USA
FTC,11365,Ticket To Paradise,FIRST Tech Challenge Rookie Grant/Michael Baker International/FRC Team Paradise 1165 Robotics Club&amp;Sunrise Middle School,2016,,Phoenix&comma; AZ 85032 USA
FTC,11366,The Smarty Party,Hendrick Middle,2016,http://thesmartypartyftc.weebly.com/,Plano&comma; TX 75025 USA
FTC,11367,Omegabots,Meads Mill Middle School &amp; Hillside Middle School,2016,,Northville&comma; MI 48168 USA
FTC,11369,Widefield Gladiator,Widefield High School,2016,,Colorado Springs&comma; CO 80911 USA
FTC,11370,Spartans,Sproul Junior High School,2016,,Colorado Springs&comma; CO 80911 USA
FTC,11371,Wolv-n-ators,Watson Junior High School,2016,,Colorado Springs&comma; CO 80911 USA
